target,model,origin,horizon_step,period_index,actual,forecast,lower,upper,signed_error,absolute_error,interval_hit,interval_width,rolling_mae,rolling_bias,rolling_wape
actionable_probability_mass,exponential_smoothing,44,2,45,0.0,1.2939105647795552e-71,0.0,0.6178027152238992,1.2939105647795552e-71,1.2939105647795552e-71,1,0.6178027152238992,0.0,0.0,
actionable_probability_mass,exponential_smoothing,46,1,46,0.0,2.8730586016480047e-87,0.0,0.41409740836862297,2.8730586016480047e-87,2.8730586016480047e-87,1,0.41409740836862297,0.0,0.0,
actionable_probability_mass,exponential_smoothing,46,2,47,0.0,2.8730586016480047e-87,0.0,0.5856221710584566,2.8730586016480047e-87,2.8730586016480047e-87,1,0.5856221710584566,0.0,0.0,
actionable_probability_mass,exponential_smoothing,48,1,48,0.0,6.379471621293941e-103,0.0,0.3913423273669662,6.379471621293941e-103,6.379471621293941e-103,1,0.3913423273669662,0.0,0.0,
actionable_probability_mass,exponential_smoothing,48,2,49,0.0,6.379471621293941e-103,0.0,0.5534416268930153,6.379471621293941e-103,6.379471621293941e-103,1,0.5534416268930153,0.0,0.0,
actionable_probability_mass,exponential_smoothing,50,1,50,0.5179237057210372,1.416527255780662e-118,0.0,0.3685872463653086,-0.5179237057210372,0.5179237057210372,0,0.3685872463653086,0.1294809264302593,-0.1294809264302593,1.0
actionable_probability_mass,exponential_smoothing,50,2,51,0.5545450699846328,1.416527255780662e-118,0.0,0.5212610827275728,-0.5545450699846328,0.5545450699846328,0,0.5212610827275728,0.26811719392641753,-0.26811719392641753,1.0
actionable_probability_mass,exponential_smoothing,52,1,52,0.0,0.5545450694389319,0.08021042967943226,1.0141526398108693,0.5545450694389319,0.5545450694389319,0,0.9339422101314371,0.4067534612861505,-0.12948092656668453,1.5170733936510632
actionable_probability_mass,exponential_smoothing,52,2,53,0.0,0.5545450694389319,0.0,1.2045283288282724,0.5545450694389319,0.5545450694389319,1,1.2045283288282724,0.5453897286458834,0.009155340793048444,2.0341467873021264
actionable_probability_mass,exponential_smoothing,54,1,54,0.0,1.2313374085669169e-16,0.0,0.4368524893702807,1.2313374085669169e-16,1.2313374085669169e-16,1,0.4368524893702807,0.41590880221562415,0.13863626722330777,2.999999998031897
actionable_probability_mass,exponential_smoothing,54,2,55,0.0,1.2313374085669169e-16,0.0,0.6178027152238993,1.2313374085669169e-16,1.2313374085669169e-16,1,0.6178027152238993,0.27727253471946606,0.27727253471946606,
actionable_probability_mass,exponential_smoothing,56,1,56,0.0,2.734118284146529e-32,0.0,0.41409740836862297,2.734118284146529e-32,2.734118284146529e-32,1,0.41409740836862297,0.13863626735973303,0.13863626735973303,
actionable_probability_mass,exponential_smoothing,56,2,57,0.0,2.734118284146529e-32,0.0,0.5856221710584566,2.734118284146529e-32,2.734118284146529e-32,1,0.5856221710584566,6.156687042834587e-17,6.156687042834585e-17,
actionable_probability_mass,exponential_smoothing,58,1,58,0.0,6.070962142216206e-48,0.0,0.3913423273669662,6.070962142216206e-48,6.070962142216206e-48,1,0.3913423273669662,3.078343521417294e-17,3.0783435214172934e-17,
actionable_probability_mass,exponential_smoothing,58,2,59,0.0,6.070962142216206e-48,0.0,0.5534416268930153,6.070962142216206e-48,6.070962142216206e-48,1,0.5534416268930153,1.925929944387236e-32,1.3096323621833207e-32,
actionable_probability_mass,exponential_smoothing,60,1,60,0.0,1.348024390383219e-63,0.0,0.3685872463653086,1.348024390383219e-63,1.348024390383219e-63,1,0.3685872463653086,1.242400373350604e-32,6.261027911466884e-33,
actionable_probability_mass,exponential_smoothing,60,2,61,0.0,1.348024390383219e-63,0.0,0.5212610827275728,1.348024390383219e-63,1.348024390383219e-63,1,0.5212610827275728,5.5887080231397156e-33,0.0,
actionable_probability_mass,exponential_smoothing,62,1,62,0.0,2.9932154319194806e-79,0.0,0.32515087247615737,2.9932154319194806e-79,2.9932154319194806e-79,1,0.32515087247615737,5.588708023139714e-33,0.0,
actionable_probability_mass,exponential_smoothing,62,2,63,0.3486549908129756,2.9932154319194806e-79,0.0,0.4598327736732265,-0.3486549908129756,0.3486549908129756,1,0.4598327736732265,0.0871637477032439,-0.0871637477032439,1.0
actionable_probability_mass,exponential_smoothing,64,1,64,0.0,0.3486549856176114,0.0,0.7032982769666399,0.3486549856176114,0.3486549856176114,1,0.7032982769666399,0.17432749410764675,-1.2988410486025614e-09,1.999999985098839
actionable_probability_mass,exponential_smoothing,64,2,65,0.0,0.3486549856176114,0.0,0.8501963380480406,0.3486549856176114,0.3486549856176114,1,0.8501963380480406,0.2614912405120496,0.0871637451055618,2.9999999701976776
actionable_probability_mass,exponential_smoothing,66,1,66,0.0,7.741695853660499e-17,0.0,0.3529323483387277,7.741695853660499e-17,7.741695853660499e-17,1,0.3529323483387277,0.2614912405120496,0.08716374510556181,2.9999999701976776
actionable_probability_mass,exponential_smoothing,66,2,67,0.0,7.741695853660499e-17,0.0,0.49912171362081426,7.741695853660499e-17,7.741695853660499e-17,1,0.49912171362081426,0.17432749280880572,0.17432749280880575,
actionable_probability_mass,exponential_smoothing,68,1,68,0.0,1.7190017972757985e-32,0.0,0.3512214053284269,1.7190017972757985e-32,1.7190017972757985e-32,1,0.3512214053284269,0.08716374640440289,0.08716374640440289,
actionable_probability_mass,exponential_smoothing,68,2,69,0.5081170016051968,1.7190017972757985e-32,0.0,0.4967020748111994,-0.5081170016051968,0.5081170016051968,0,0.4967020748111994,0.12702925040129925,-0.12702925040129914,1.0000000000000004
actionable_probability_mass,exponential_smoothing,70,1,70,0.0,0.5081169940336634,0.036759719523015766,0.876704240398972,0.5081169940336634,0.5081169940336634,0,0.8399445208759562,0.2540584989097151,-1.892883322307526e-09,1.999999985098839
actionable_probability_mass,exponential_smoothing,70,2,71,0.0,0.5081169940336634,0.0,1.0293780767612362,0.5081169940336634,0.5081169940336634,1,1.0293780767612362,0.3810877474181309,0.12702924661553253,2.9999999701976776
actionable_probability_mass,exponential_smoothing,72,1,72,0.5441053470867225,1.1282463719589928e-16,0.0,0.3563542343593295,-0.5441053470867224,0.5441053470867224,0,0.3563542343593295,0.5171140841898115,-0.00899709015614808,1.9657977606450463
actionable_probability_mass,exponential_smoothing,72,2,73,0.0,1.1282463719589928e-16,0.0,0.5039609912400441,1.1282463719589928e-16,1.1282463719589928e-16,1,0.5039609912400441,0.3900848337885124,0.11803216024515115,2.8677154957371775
actionable_probability_mass,exponential_smoothing,74,1,74,0.0,8.107801362558024e-09,0.0,0.43685249747808197,8.107801362558024e-09,8.107801362558024e-09,1,0.43685249747808197,0.26305558730704687,-0.00899708623631436,1.9338577627697497
actionable_probability_mass,exponential_smoothing,74,2,75,0.5112215962029143,8.107801362558024e-09,0.0,0.6178027233317005,-0.511221588095113,0.511221588095113,1,0.6178027233317005,0.26383173582240926,-0.2638317317685085,1.0000000000000002
