target,model,origin,horizon_step,period_index,actual,forecast,lower,upper
actionable_probability_mass,naive,108,2,109,0.0,0.0,0.0,0.506438664343586
actionable_probability_mass,naive,110,1,110,0.0,0.0,0.0,0.3576579598384436
actionable_probability_mass,naive,110,2,111,3.44480621866376,0.0,0.0,0.5058047374942187
actionable_probability_mass,naive,112,1,112,1.9096506040024297,3.44480621866376,3.085355242929461,3.8042571943980588
actionable_probability_mass,naive,112,2,113,3.891809400615239,3.44480621866376,2.936465773772072,3.9531466635554473
actionable_probability_mass,naive,114,1,114,2.9955446264856245,3.891809400615239,3.471723875368283,4.311894925862195
actionable_probability_mass,naive,114,2,115,0.912506686080536,3.891809400615239,3.297718753454369,4.485900047776109
actionable_probability_mass,naive,116,1,116,0.5435059971769587,0.912506686080536,0.4392885512378562,1.3174335739493281
actionable_probability_mass,naive,116,2,117,0.5277457521369908,0.912506686080536,0.2432751818251181,1.4851597826741114
actionable_probability_mass,naive,118,1,118,0.0,0.5277457521369908,0.05527195861761558,0.9175140026276185
actionable_probability_mass,naive,118,2,119,0.0,0.5277457521369908,0.0,1.0789612981632701
actionable_probability_mass,naive,120,1,120,0.0,0.0,0.0,0.37460961311246327
actionable_probability_mass,naive,120,2,121,0.5080002896059868,0.0,0.0,0.5297779954589836
actionable_probability_mass,naive,122,1,122,0.5280101413359624,0.5080002896059868,0.033293472116697864,0.9432444522311068
actionable_probability_mass,naive,122,2,123,0.401555825299013,0.5080002896059868,0.0,1.1235284873341524
actionable_probability_mass,naive,124,1,124,0.0,0.401555825299013,0.0,0.8216413505459685
actionable_probability_mass,naive,124,2,125,0.990931679097512,0.401555825299013,0.0,0.9956464724598828
actionable_probability_mass,naive,126,1,126,0.0,0.990931679097512,0.5177135442548322,1.44762041067122
actionable_probability_mass,naive,126,2,127,0.5578843566286896,0.990931679097512,0.3217001748420941,1.6367870770720159
actionable_probability_mass,naive,128,1,128,0.0,0.5578843566286896,0.06981346549303757,1.0303581501480648
actionable_probability_mass,naive,128,2,129,0.0,0.5578843566286896,0.0,1.2260632032896555
actionable_probability_mass,naive,130,1,130,0.0,0.0,0.0,0.4717294521960707
actionable_probability_mass,naive,130,2,131,0.0,0.0,0.0,0.6671261890665139
actionable_probability_mass,naive,132,1,132,0.0,0.0,0.0,0.4709851108727662
actionable_probability_mass,naive,132,2,133,0.5016993406604939,0.0,0.0,0.6660735314720618
actionable_probability_mass,naive,134,1,134,0.0,0.5016993406604939,0.00026437587847860655,0.9756618168264781
actionable_probability_mass,naive,134,2,135,0.0,0.5016993406604939,0.0,1.1719835025103638
actionable_probability_mass,naive,136,1,136,0.4951377072503446,0.0,0.0,0.47321813484267977
actionable_probability_mass,naive,136,2,137,0.0,0.0,0.0,0.6692315042554179
actionable_probability_mass,naive,138,1,138,0.0,0.0,0.0,0.4828791733937112
actionable_probability_mass,naive,138,2,139,0.5396641573325185,0.0,0.0,0.6828942760008958
actionable_probability_mass,naive,140,1,140,0.0,0.5396641573325185,0.03668128448308394,1.036114191264893
actionable_probability_mass,naive,140,2,141,0.490509703418659,0.5396641573325185,0.0,1.241750528360266
actionable_probability_mass,naive,142,1,142,0.8149813368420911,0.490509703418659,0.0,0.9856474106690036
actionable_probability_mass,naive,142,2,143,0.0,0.490509703418659,0.0,1.1907401642544155
actionable_probability_mass,naive,144,1,144,0.4283692935606201,0.0,0.0,0.4942121064840075
actionable_probability_mass,naive,144,2,145,1.0707124094532765,0.0,0.0,0.6989214636786597
actionable_probability_mass,naive,146,1,146,1.466912628595356,1.0707124094532765,0.5508181575290032,1.5697870967497107
actionable_probability_mass,naive,146,2,147,0.5660047874385372,1.0707124094532765,0.33547090738215457,1.7765106008650051
actionable_probability_mass,naive,148,1,148,0.907782489000545,0.5660047874385372,0.03349167322333524,1.0637671480529416
actionable_probability_mass,naive,148,2,149,0.4295192706689538,0.5660047874385372,0.0,1.2699470686582752
actionable_probability_mass,naive,150,1,150,0.0,0.4295192706689538,0.0,0.9259693046013284
actionable_probability_mass,naive,150,2,151,0.4357687131898422,0.4295192706689538,0.0,1.131605641696701
actionable_probability_mass,naive,152,1,152,0.939098412871056,0.4357687131898422,0.0,0.9309064204401869
actionable_probability_mass,naive,152,2,153,0.4275891376595596,0.4357687131898422,0.0,1.1359991740255988
actionable_probability_mass,naive,154,1,154,0.0,0.4275891376595596,0.0,0.9279761516380238
actionable_probability_mass,naive,154,2,155,1.470561318566998,0.4275891376595596,0.0,1.1352432392632792
actionable_probability_mass,naive,156,1,156,0.4953701893695992,1.470561318566998,0.9493101572002047,1.9732388746399239
actionable_probability_mass,naive,156,2,157,0.6354096769345648,1.470561318566998,0.7334008567593523,2.181454735865892
actionable_probability_mass,naive,158,1,158,0.0,0.6354096769345648,0.10289656271936287,1.1377611612033467
